70, Female, Meghalaya, 6857177368, 160.65 cm, 65.18 kg
95, Male, Nagaland, 6278274123, 161.14 cm, 71.69 kg
12, Male, Goa, 7673114852, 142.67 cm, 67.93 kg
76, Female, Tamil Nadu, 9621816763, 158.11 cm, 63.78 kg
85, Female, Rajasthan, 7123581176, 163.61 cm, 67.72 kg
36, Female, Arunachal Pradesh, 8715817882, 148.78 cm, 71.35 kg
58, Female, Telangana, 7217134744, 157.63 cm, 69.69 kg
46, Female, Mizoram, 7827662355, 156.03 cm, 75.52 kg
40, Male, Tripura, 8638467114, 165.61 cm, 73.99 kg
34, Female, Assam, 7373363854, 168.25 cm, 72.24 kg
78, Male, Karnataka, 9164618473, 164.92 cm, 70.09 kg
4, Male, Mizoram, 6238322381, 161.88 cm, 75.66 kg
5, Male, Madhya Pradesh, 6158625388, 176.69 cm, 66.78 kg
5, Female, Himachal Pradesh, 6462883888, 165.41 cm, 67.81 kg
33, Female, Tamil Nadu, 9825154627, 159.92 cm, 64.07 kg
20, Female, Himachal Pradesh, 8621361146, 162.01 cm, 70.07 kg
50, Male, Manipur, 9454666241, 167.08 cm, 70.93 kg
54, Female, Arunachal Pradesh, 8761875724, 165.51 cm, 71.47 kg
53, Female, West Bengal, 8281628172, 156.51 cm, 66.22 kg
47, Female, West Bengal, 8257626875, 176.91 cm, 68.74 kg
35, Female, West Bengal, 9886456324, 171.23 cm, 72.74 kg
47, Male, Sikkim, 6752257514, 159.31 cm, 72.11 kg
37, Male, Telangana, 8868462768, 145.07 cm, 76.42 kg
57, Female, Assam, 6141145223, 157.67 cm, 80.03 kg
77, Male, Madhya Pradesh, 9362786156, 166.65 cm, 64.36 kg
9, Male, Arunachal Pradesh, 6324246771, 167.37 cm, 74.5 kg
46, Female, Mizoram, 6675143473, 158.73 cm, 71.8 kg
40, Female, Assam, 7227636626, 160.53 cm, 62.75 kg
59, Male, Andhra Pradesh, 9242277542, 162.79 cm, 65.82 kg
50, Male, Chhattisgarh, 8748818656, 179.7 cm, 70.2 kg
88, Female, Jharkhand, 6428647533, 151.0 cm, 72.19 kg
39, Female, Punjab, 9853247845, 162.51 cm, 69.57 kg
72, Male, Haryana, 9628186442, 151.57 cm, 68.64 kg
53, Male, Punjab, 7471817158, 155.37 cm, 61.94 kg
85, Male, Uttarakhand, 8528383141, 151.12 cm, 69.75 kg
41, Female, Tamil Nadu, 8113547131, 157.34 cm, 64.85 kg
26, Male, Odisha, 9681172811, 162.7 cm, 71.65 kg
45, Female, Madhya Pradesh, 6773848465, 160.53 cm, 73.6 kg
39, Male, Madhya Pradesh, 6435623476, 150.18 cm, 67.07 kg
43, Male, Himachal Pradesh, 7478173721, 168.59 cm, 75.01 kg
39, Male, Uttar Pradesh, 8131227243, 164.53 cm, 72.42 kg
75, Male, Kerala, 9726138753, 163.08 cm, 69.68 kg
59, Male, Tamil Nadu, 8777557261, 146.65 cm, 72.05 kg
93, Female, Gujarat, 7864484555, 153.18 cm, 69.7 kg
62, Female, Rajasthan, 9785553432, 156.57 cm, 64.83 kg
34, Female, Rajasthan, 6832651231, 171.58 cm, 67.07 kg
69, Male, Tripura, 6568571815, 158.56 cm, 71.35 kg
37, Female, Odisha, 9221888114, 173.21 cm, 71.03 kg
84, Male, Maharashtra, 6871161282, 179.93 cm, 77.03 kg
89, Male, Nagaland, 7243746848, 155.14 cm, 59.28 kg
32, Female, Assam, 7671618772, 161.95 cm, 72.46 kg
38, Male, Karnataka, 9811524283, 139.72 cm, 61.88 kg
70, Male, Arunachal Pradesh, 8777115836, 170.7 cm, 68.79 kg
47, Male, Himachal Pradesh, 6557662726, 144.26 cm, 69.47 kg
68, Female, Assam, 9434172742, 154.51 cm, 70.83 kg
80, Female, Manipur, 8122427573, 143.2 cm, 72.99 kg
65, Female, Arunachal Pradesh, 9338687321, 161.42 cm, 67.24 kg
35, Male, Karnataka, 6831334431, 137.38 cm, 63.14 kg
63, Female, Manipur, 7743252775, 164.11 cm, 66.34 kg
76, Male, Chhattisgarh, 9886435536, 168.23 cm, 63.85 kg
18, Female, Gujarat, 9432788217, 170.41 cm, 61.47 kg
66, Male, Punjab, 9348556385, 160.37 cm, 69.95 kg
31, Female, Arunachal Pradesh, 8171115721, 159.7 cm, 77.33 kg
34, Female, Mizoram, 7141672643, 153.17 cm, 76.18 kg
60, Male, Rajasthan, 8837377126, 135.49 cm, 73.59 kg
62, Female, Madhya Pradesh, 7778456166, 174.77 cm, 68.7 kg
7, Male, Gujarat, 7847743585, 178.28 cm, 70.23 kg
31, Female, Uttar Pradesh, 9156117615, 169.14 cm, 66.13 kg
15, Female, Mizoram, 9714758587, 162.95 cm, 76.39 kg
78, Male, West Bengal, 6338483244, 164.18 cm, 63.43 kg
67, Female, Tripura, 6383746882, 150.55 cm, 64.71 kg
95, Female, Tripura, 6338315268, 146.38 cm, 62.99 kg
21, Female, Uttar Pradesh, 8434163583, 162.98 cm, 71.43 kg
39, Female, Assam, 9437543551, 150.02 cm, 64.89 kg
91, Female, Mizoram, 7552466862, 153.06 cm, 68.93 kg
81, Female, Tamil Nadu, 6373124468, 161.55 cm, 64.94 kg
79, Female, Assam, 7653423221, 173.09 cm, 63.59 kg
12, Female, Sikkim, 7277662337, 164.2 cm, 66.85 kg
52, Male, Tamil Nadu, 9521224431, 160.83 cm, 74.89 kg
57, Female, Nagaland, 9516361266, 150.91 cm, 65.49 kg
66, Male, Gujarat, 7158264573, 164.97 cm, 70.35 kg
41, Female, West Bengal, 9526188453, 170.67 cm, 77.36 kg
67, Male, Tripura, 8567255726, 151.42 cm, 67.98 kg
85, Male, Nagaland, 9324311377, 157.86 cm, 65.79 kg
57, Female, Goa, 7463657718, 151.55 cm, 75.14 kg
99, Male, Nagaland, 9123377466, 176.88 cm, 63.52 kg
65, Male, Karnataka, 9583244712, 166.17 cm, 60.99 kg
84, Male, Assam, 7156846887, 144.25 cm, 65.44 kg
71, Female, Goa, 8225764666, 160.26 cm, 66.92 kg
70, Female, West Bengal, 8153652824, 166.62 cm, 65.85 kg
76, Male, Haryana, 8342373784, 159.53 cm, 82.69 kg
96, Female, Karnataka, 7221485888, 162.86 cm, 59.74 kg
41, Male, West Bengal, 9251332881, 162.44 cm, 75.35 kg
8, Male, Uttar Pradesh, 7376633858, 149.51 cm, 69.95 kg
99, Female, Goa, 6486518362, 166.18 cm, 76.35 kg
67, Male, Tamil Nadu, 9838554687, 152.05 cm, 62.52 kg
96, Female, Madhya Pradesh, 8148114531, 138.58 cm, 64.16 kg
9, Female, Uttarakhand, 7737488726, 152.39 cm, 69.03 kg
14, Female, Bihar, 9652432612, 164.02 cm, 70.23 kg
90, Female, Sikkim, 9375316878, 155.59 cm, 74.98 kg
43, Female, Punjab, 7664753333, 158.5 cm, 66.69 kg
64, Female, Meghalaya, 6537344585, 162.23 cm, 54.08 kg
86, Female, Uttarakhand, 6725236745, 173.97 cm, 68.9 kg
87, Male, Goa, 6353153556, 164.88 cm, 64.93 kg
41, Male, Tamil Nadu, 6471116878, 149.64 cm, 66.64 kg
38, Male, Odisha, 6453337815, 157.97 cm, 76.65 kg
13, Female, Jharkhand, 6681315757, 178.57 cm, 58.55 kg
17, Female, Bihar, 6354423478, 128.15 cm, 67.84 kg
95, Female, Odisha, 7833814655, 155.71 cm, 66.58 kg
64, Female, Madhya Pradesh, 8711515364, 170.99 cm, 64.73 kg
58, Male, Telangana, 9445635825, 154.06 cm, 62.14 kg
7, Male, Madhya Pradesh, 9765225813, 152.54 cm, 71.04 kg
94, Male, Rajasthan, 9446465213, 165.85 cm, 75.61 kg
83, Female, Odisha, 7713171735, 157.99 cm, 65.19 kg
68, Male, Arunachal Pradesh, 8253778443, 160.86 cm, 69.76 kg
82, Female, Gujarat, 8837257667, 157.86 cm, 70.75 kg
88, Male, Telangana, 8365161247, 152.13 cm, 71.09 kg
99, Male, Gujarat, 7623243337, 150.47 cm, 69.01 kg
67, Male, Andhra Pradesh, 8356183873, 155.98 cm, 66.82 kg
89, Female, Goa, 7885375448, 161.22 cm, 77.14 kg
33, Male, Chhattisgarh, 9664441373, 160.3 cm, 66.61 kg
78, Female, Jharkhand, 6411213161, 157.84 cm, 62.13 kg
23, Female, Uttarakhand, 6857176888, 169.74 cm, 62.52 kg
65, Male, Jharkhand, 6417861634, 173.54 cm, 73.17 kg
99, Male, Odisha, 8318875455, 157.52 cm, 75.44 kg
1, Male, Himachal Pradesh, 7471752525, 164.97 cm, 73.11 kg
75, Female, Madhya Pradesh, 7481646663, 160.18 cm, 76.64 kg
11, Female, Sikkim, 9678132787, 148.35 cm, 70.72 kg
76, Male, Maharashtra, 8854342663, 163.95 cm, 80.16 kg
20, Female, Uttar Pradesh, 9576735341, 158.86 cm, 75.27 kg
2, Male, Manipur, 7452452785, 171.36 cm, 69.71 kg
40, Male, Tamil Nadu, 9227411336, 151.59 cm, 54.41 kg
80, Male, Telangana, 7435573243, 159.56 cm, 72.99 kg
31, Female, Goa, 7435574363, 174.48 cm, 65.89 kg
4, Male, Arunachal Pradesh, 6272158536, 162.2 cm, 67.26 kg
17, Male, Chhattisgarh, 7882873622, 150.75 cm, 72.86 kg
17, Female, Mizoram, 7178683873, 155.67 cm, 63.56 kg
99, Male, Jharkhand, 8436644753, 161.14 cm, 66.09 kg
50, Male, Tamil Nadu, 6613216356, 168.07 cm, 70.89 kg
44, Female, Assam, 8312361787, 168.66 cm, 66.33 kg
67, Male, Gujarat, 8222636577, 168.38 cm, 79.1 kg
17, Female, Mizoram, 8622765231, 168.96 cm, 78.64 kg
13, Male, Haryana, 8623855758, 152.36 cm, 77.1 kg
86, Female, Madhya Pradesh, 7686718733, 141.55 cm, 74.86 kg
46, Male, Rajasthan, 9477725275, 168.33 cm, 64.57 kg
16, Male, Mizoram, 9684436155, 143.37 cm, 67.13 kg
53, Female, Assam, 9654827317, 164.54 cm, 75.23 kg
57, Male, Arunachal Pradesh, 9474383745, 161.18 cm, 72.26 kg
48, Male, Andhra Pradesh, 7477274863, 157.12 cm, 63.27 kg
20, Female, Sikkim, 9381315781, 159.36 cm, 74.24 kg
2, Male, Sikkim, 9462215821, 146.1 cm, 73.78 kg
16, Male, Tamil Nadu, 9727645143, 150.0 cm, 72.61 kg
24, Female, Bihar, 8456613473, 177.65 cm, 76.56 kg
66, Female, Maharashtra, 7125254852, 162.81 cm, 73.68 kg
38, Female, Himachal Pradesh, 6361673623, 163.37 cm, 65.74 kg
98, Male, Tripura, 8417812316, 167.33 cm, 67.0 kg
18, Female, Bihar, 6768183536, 167.62 cm, 73.35 kg
66, Female, Karnataka, 8326518661, 159.93 cm, 69.18 kg
45, Female, West Bengal, 9436312787, 170.76 cm, 73.85 kg
63, Male, Maharashtra, 6782361322, 152.57 cm, 79.35 kg
13, Male, Sikkim, 7788728412, 170.83 cm, 74.87 kg
22, Female, Sikkim, 7278878531, 161.94 cm, 69.58 kg
23, Female, Karnataka, 7853834281, 146.76 cm, 78.33 kg
74, Female, Assam, 8536764163, 158.66 cm, 71.36 kg
71, Male, Punjab, 6547735884, 168.37 cm, 77.04 kg
73, Male, Maharashtra, 8188212133, 172.83 cm, 59.93 kg
49, Female, Uttar Pradesh, 9665368412, 166.34 cm, 62.23 kg
27, Male, Uttarakhand, 7868231848, 145.73 cm, 69.47 kg
63, Male, Uttarakhand, 8151223426, 139.72 cm, 72.18 kg
57, Female, Himachal Pradesh, 8636416472, 161.89 cm, 64.11 kg
93, Female, Manipur, 8311373555, 145.15 cm, 68.48 kg
83, Female, Meghalaya, 6378463782, 171.59 cm, 58.79 kg
16, Female, Jharkhand, 7583583666, 160.95 cm, 68.56 kg
97, Female, Kerala, 9268548256, 158.47 cm, 67.81 kg
94, Female, Kerala, 8378545663, 192.02 cm, 72.57 kg
67, Male, West Bengal, 9537164776, 159.84 cm, 78.57 kg
38, Male, Karnataka, 9334634881, 164.77 cm, 71.99 kg
70, Male, Maharashtra, 7362686634, 162.32 cm, 57.92 kg
2, Male, Nagaland, 8716515238, 149.13 cm, 62.65 kg
28, Male, Andhra Pradesh, 9263236877, 143.16 cm, 71.39 kg
89, Male, Haryana, 7624184377, 152.81 cm, 70.7 kg
89, Male, Uttarakhand, 6315365552, 176.5 cm, 71.91 kg
70, Female, Tamil Nadu, 8433784285, 153.09 cm, 66.56 kg
47, Female, Tripura, 8248651834, 152.11 cm, 71.06 kg
36, Male, Gujarat, 7274141121, 160.71 cm, 65.33 kg
83, Male, Manipur, 7566677228, 153.52 cm, 73.15 kg
99, Female, Meghalaya, 6165618425, 160.89 cm, 60.91 kg
6, Female, Haryana, 9522756888, 150.13 cm, 83.0 kg
44, Male, Sikkim, 8625358223, 163.32 cm, 74.81 kg
99, Female, Himachal Pradesh, 7118212633, 164.81 cm, 81.19 kg
84, Male, Andhra Pradesh, 7146428737, 136.14 cm, 71.91 kg
51, Male, Karnataka, 9581264668, 144.21 cm, 68.54 kg
61, Male, Manipur, 6818185772, 153.61 cm, 69.97 kg
72, Male, Kerala, 6275454484, 160.6 cm, 61.95 kg
13, Male, Meghalaya, 7245527277, 156.95 cm, 73.6 kg
20, Female, Uttar Pradesh, 6381258341, 161.78 cm, 60.37 kg
37, Female, Nagaland, 9515377856, 161.98 cm, 74.5 kg
73, Male, Chhattisgarh, 9821652438, 161.22 cm, 65.64 kg
86, Male, Bihar, 6351727717, 138.85 cm, 63.97 kg
20, Female, Goa, 6115846672, 159.25 cm, 69.26 kg
20, Male, Bihar, 6557887514, 161.45 cm, 72.75 kg
29, Male, Haryana, 9861126865, 181.36 cm, 70.76 kg
39, Male, Punjab, 6512728785, 168.15 cm, 72.99 kg
84, Female, Karnataka, 9731675587, 174.95 cm, 71.98 kg
70, Male, Madhya Pradesh, 6284252418, 167.64 cm, 73.48 kg
63, Male, Manipur, 6248227716, 168.46 cm, 70.64 kg
3, Female, Assam, 8175252681, 148.04 cm, 67.45 kg
32, Male, Arunachal Pradesh, 9827714615, 149.07 cm, 64.06 kg
9, Female, Uttarakhand, 9768581787, 170.38 cm, 73.27 kg
4, Male, Rajasthan, 9335666746, 165.88 cm, 60.05 kg
61, Male, Uttar Pradesh, 9378185643, 168.09 cm, 64.65 kg
52, Male, Punjab, 7321877162, 161.42 cm, 74.93 kg
14, Female, Punjab, 9827417116, 157.67 cm, 73.15 kg
75, Female, Rajasthan, 8361734373, 170.43 cm, 67.75 kg
74, Female, Assam, 9687467365, 164.06 cm, 71.61 kg
50, Female, Manipur, 6777232821, 174.2 cm, 64.14 kg
54, Female, Assam, 7471486457, 159.42 cm, 73.22 kg
66, Male, Kerala, 9117772224, 153.61 cm, 73.44 kg
80, Male, Telangana, 7743425453, 174.3 cm, 67.62 kg
77, Male, Andhra Pradesh, 8867227171, 170.66 cm, 61.87 kg
33, Male, Tamil Nadu, 7443458248, 163.03 cm, 67.32 kg
66, Female, Punjab, 7348668388, 150.52 cm, 78.76 kg
92, Male, Goa, 6648878325, 163.48 cm, 71.92 kg
93, Female, Tripura, 7338486347, 168.63 cm, 65.64 kg
24, Female, Sikkim, 8417565738, 157.5 cm, 64.54 kg
58, Male, Uttarakhand, 8858754715, 150.53 cm, 70.55 kg
31, Male, Goa, 6628545371, 158.69 cm, 71.58 kg
27, Female, Kerala, 6751843625, 158.21 cm, 64.18 kg
4, Female, Himachal Pradesh, 7336483676, 152.19 cm, 66.42 kg
48, Male, Arunachal Pradesh, 8154381221, 160.44 cm, 57.53 kg
17, Male, Bihar, 8437252272, 169.75 cm, 68.43 kg
94, Male, Madhya Pradesh, 8335746142, 160.93 cm, 77.11 kg
90, Female, Uttar Pradesh, 8351263218, 157.41 cm, 65.95 kg
6, Male, Uttar Pradesh, 8844586717, 158.39 cm, 67.3 kg
62, Male, Telangana, 9242711415, 171.22 cm, 65.83 kg
28, Male, Maharashtra, 6127587174, 146.77 cm, 70.05 kg
48, Female, Gujarat, 6353482281, 173.8 cm, 82.75 kg
99, Male, Jharkhand, 8856778355, 154.95 cm, 61.34 kg
37, Male, Sikkim, 8311714257, 156.16 cm, 68.0 kg
87, Female, Gujarat, 6141431512, 160.66 cm, 69.76 kg
7, Male, Telangana, 6252512261, 171.94 cm, 76.99 kg
78, Male, Meghalaya, 8741655766, 142.18 cm, 70.12 kg
61, Male, Nagaland, 8721724613, 162.79 cm, 70.46 kg
65, Male, Kerala, 8736658812, 151.28 cm, 69.58 kg
93, Male, Manipur, 6326653871, 142.19 cm, 75.11 kg
68, Female, Meghalaya, 9711775885, 178.16 cm, 72.58 kg
6, Male, Karnataka, 9177548568, 164.79 cm, 76.61 kg
16, Male, Meghalaya, 8228772417, 157.02 cm, 70.27 kg
6, Female, Uttar Pradesh, 6711211571, 149.78 cm, 69.02 kg
40, Male, Bihar, 6466874146, 164.02 cm, 76.51 kg
34, Male, Odisha, 9685867866, 155.51 cm, 78.98 kg
89, Male, Uttarakhand, 7854134524, 174.24 cm, 65.99 kg
31, Female, Andhra Pradesh, 8331625664, 147.54 cm, 66.42 kg
24, Female, Rajasthan, 9736581773, 154.38 cm, 65.06 kg
26, Male, West Bengal, 8343725415, 171.53 cm, 71.99 kg
92, Male, Madhya Pradesh, 9225635426, 166.73 cm, 72.14 kg
71, Female, Kerala, 8417752543, 165.86 cm, 77.81 kg
38, Male, Tripura, 6872483344, 179.42 cm, 71.75 kg
4, Female, Tripura, 6537887215, 150.76 cm, 66.44 kg
80, Female, Madhya Pradesh, 7453147351, 139.77 cm, 69.83 kg
11, Male, Telangana, 7323524771, 153.73 cm, 70.54 kg
24, Female, Mizoram, 6528451528, 156.23 cm, 62.94 kg
96, Male, Kerala, 7621112544, 155.95 cm, 65.31 kg
23, Female, Bihar, 8573678267, 162.61 cm, 69.04 kg
7, Male, Maharashtra, 7631111857, 139.09 cm, 60.55 kg
4, Female, Punjab, 7157517247, 155.75 cm, 64.83 kg
25, Female, Tripura, 6681777648, 160.84 cm, 68.63 kg
93, Female, Himachal Pradesh, 8742611535, 150.05 cm, 64.34 kg
19, Male, Uttar Pradesh, 9483421348, 166.86 cm, 62.0 kg
98, Female, Jharkhand, 9678326622, 149.43 cm, 80.74 kg
36, Female, Karnataka, 8271617372, 157.67 cm, 79.06 kg
61, Male, Chhattisgarh, 7262725514, 156.25 cm, 65.08 kg
48, Female, Odisha, 9261878212, 164.66 cm, 78.62 kg
23, Male, Haryana, 7621485524, 156.81 cm, 70.97 kg
48, Male, Bihar, 6346288171, 154.67 cm, 81.03 kg
45, Male, Karnataka, 7368825333, 175.81 cm, 60.8 kg
11, Male, Arunachal Pradesh, 6256178514, 168.75 cm, 69.86 kg
45, Male, Madhya Pradesh, 7856482175, 142.96 cm, 66.58 kg
24, Male, Jharkhand, 8661282778, 159.32 cm, 67.86 kg
87, Female, Telangana, 6551273143, 148.83 cm, 73.59 kg
76, Male, West Bengal, 6837332336, 147.52 cm, 81.18 kg
31, Female, Arunachal Pradesh, 9754351218, 169.14 cm, 69.65 kg
5, Male, Manipur, 8563381252, 172.21 cm, 68.44 kg
57, Female, Uttar Pradesh, 9143333577, 151.16 cm, 67.25 kg
99, Male, Kerala, 7832732184, 157.07 cm, 67.14 kg
7, Female, Tamil Nadu, 8472221473, 149.7 cm, 80.1 kg
79, Male, Uttar Pradesh, 6886413224, 156.66 cm, 69.3 kg
38, Female, Uttarakhand, 8174127718, 178.53 cm, 68.0 kg
87, Male, Goa, 9825761343, 157.49 cm, 77.38 kg
4, Male, Himachal Pradesh, 7784653716, 175.84 cm, 72.26 kg
44, Female, Manipur, 7757575315, 151.89 cm, 69.75 kg
58, Male, Arunachal Pradesh, 7167318285, 155.16 cm, 68.34 kg
88, Male, Meghalaya, 6566264285, 161.58 cm, 71.27 kg
4, Male, West Bengal, 7355228513, 181.75 cm, 69.03 kg
57, Female, Haryana, 9883538387, 139.48 cm, 67.06 kg
61, Female, Telangana, 9218186267, 162.67 cm, 69.86 kg
93, Male, Punjab, 6635685713, 148.83 cm, 70.96 kg
25, Male, Goa, 7681852342, 156.93 cm, 72.82 kg
14, Male, Assam, 9662181726, 140.98 cm, 73.18 kg
38, Female, Mizoram, 7714766141, 144.56 cm, 70.86 kg
99, Female, Andhra Pradesh, 6474881586, 162.81 cm, 75.91 kg
47, Female, Punjab, 6457178558, 143.16 cm, 67.07 kg
69, Female, Uttar Pradesh, 8327777433, 151.84 cm, 75.94 kg
13, Female, Jharkhand, 7418863374, 168.33 cm, 76.94 kg
89, Male, Uttar Pradesh, 9462284712, 154.4 cm, 66.07 kg
59, Female, Mizoram, 9784354217, 169.9 cm, 71.72 kg
90, Female, Punjab, 9568381116, 162.66 cm, 74.93 kg
21, Female, Goa, 7548447761, 167.77 cm, 75.04 kg
60, Female, Kerala, 9664548667, 156.38 cm, 74.39 kg
1, Female, Assam, 7126641855, 143.76 cm, 60.05 kg
45, Female, Jharkhand, 9214571424, 142.01 cm, 70.93 kg
77, Female, West Bengal, 8832586222, 157.52 cm, 72.08 kg
77, Female, Chhattisgarh, 8653412478, 173.57 cm, 63.08 kg
98, Male, Mizoram, 6214787755, 152.03 cm, 73.02 kg
5, Male, Rajasthan, 9655633235, 151.85 cm, 63.2 kg
75, Female, Uttarakhand, 7375366514, 169.43 cm, 75.44 kg
44, Male, Gujarat, 7865552236, 146.16 cm, 71.73 kg
92, Female, Gujarat, 8227426122, 145.07 cm, 70.81 kg
11, Male, Maharashtra, 9186713273, 162.68 cm, 63.75 kg
48, Male, Kerala, 9484883735, 135.75 cm, 71.05 kg
41, Male, Himachal Pradesh, 9443483887, 179.15 cm, 70.62 kg
70, Male, Uttarakhand, 7457628872, 165.35 cm, 73.29 kg
82, Female, Sikkim, 6531677318, 144.53 cm, 66.87 kg
65, Male, Gujarat, 8733786162, 162.19 cm, 68.05 kg
82, Male, West Bengal, 7625751676, 150.19 cm, 70.71 kg
44, Female, Nagaland, 7685218272, 190.64 cm, 69.58 kg
63, Male, Tamil Nadu, 8354386667, 147.43 cm, 64.04 kg
99, Male, Rajasthan, 8813611118, 173.58 cm, 67.1 kg
72, Male, Goa, 6772576223, 171.28 cm, 73.52 kg
66, Female, Maharashtra, 7238837661, 151.69 cm, 74.27 kg
29, Female, Gujarat, 9176837765, 156.38 cm, 65.96 kg
40, Male, Mizoram, 9867611721, 154.45 cm, 71.35 kg
93, Female, Tamil Nadu, 7651438281, 150.93 cm, 72.34 kg
65, Female, Andhra Pradesh, 9762175253, 163.51 cm, 62.98 kg
38, Male, Telangana, 7737441468, 165.35 cm, 64.56 kg
55, Female, Punjab, 7582422313, 161.64 cm, 74.25 kg
57, Male, Uttarakhand, 6387855643, 164.99 cm, 72.15 kg
22, Female, Maharashtra, 6113845233, 155.94 cm, 68.95 kg
18, Male, Uttar Pradesh, 8618472233, 157.73 cm, 67.67 kg
3, Male, Himachal Pradesh, 9858424255, 182.18 cm, 69.58 kg
25, Male, Andhra Pradesh, 8326677451, 155.54 cm, 68.4 kg
60, Female, Telangana, 9586434126, 147.07 cm, 74.46 kg
25, Female, West Bengal, 8148332435, 158.49 cm, 76.26 kg
62, Male, Meghalaya, 7288536473, 147.59 cm, 74.74 kg
10, Female, Rajasthan, 8554316686, 153.12 cm, 69.26 kg
99, Male, Goa, 7233861851, 167.82 cm, 81.07 kg
33, Female, West Bengal, 7143535628, 161.59 cm, 68.47 kg
70, Male, Nagaland, 9238121457, 169.06 cm, 60.7 kg
27, Male, Punjab, 8485287224, 137.73 cm, 75.11 kg
68, Female, Uttar Pradesh, 6136462664, 164.73 cm, 66.49 kg
98, Male, Rajasthan, 8827161572, 151.37 cm, 73.06 kg
45, Male, Maharashtra, 6674647427, 159.74 cm, 73.85 kg
4, Male, West Bengal, 6578685734, 150.06 cm, 71.39 kg
24, Female, Arunachal Pradesh, 6172652812, 176.27 cm, 70.07 kg
19, Male, Goa, 8714354545, 171.77 cm, 73.42 kg
46, Male, Andhra Pradesh, 7363484151, 166.23 cm, 65.91 kg
97, Female, Meghalaya, 6362777773, 155.17 cm, 70.57 kg
1, Male, Meghalaya, 8428811426, 170.95 cm, 61.54 kg
11, Male, Assam, 6443637368, 163.98 cm, 74.61 kg
4, Female, Manipur, 8873464645, 147.21 cm, 72.39 kg
43, Male, Odisha, 9684427773, 157.62 cm, 68.58 kg
64, Female, Madhya Pradesh, 8181662627, 163.73 cm, 71.93 kg
45, Male, Punjab, 6337285184, 171.76 cm, 76.87 kg
4, Male, Kerala, 9535881651, 141.02 cm, 71.44 kg
74, Male, Rajasthan, 8758441877, 155.13 cm, 67.05 kg
33, Female, Mizoram, 7652315162, 158.53 cm, 76.09 kg
91, Female, Himachal Pradesh, 6626841777, 166.28 cm, 61.66 kg
65, Female, Madhya Pradesh, 8624438531, 147.39 cm, 70.24 kg
55, Male, Tamil Nadu, 9615715845, 159.31 cm, 66.8 kg
68, Male, Uttar Pradesh, 9872157365, 160.89 cm, 80.55 kg
75, Female, Tripura, 7276735824, 136.17 cm, 66.19 kg
2, Female, Mizoram, 9756718445, 168.75 cm, 64.37 kg
47, Male, Kerala, 9458617221, 164.01 cm, 70.59 kg
80, Female, Jharkhand, 8124373678, 152.66 cm, 73.33 kg
56, Male, Odisha, 7864577374, 166.91 cm, 75.04 kg
66, Female, Gujarat, 8724788626, 161.05 cm, 70.56 kg
88, Female, Mizoram, 8672341326, 170.58 cm, 77.15 kg
18, Male, Manipur, 7651661354, 181.65 cm, 72.53 kg
36, Female, Nagaland, 6221782746, 168.18 cm, 69.01 kg
7, Female, Andhra Pradesh, 8172417763, 166.62 cm, 74.3 kg
54, Male, Assam, 6543612648, 168.2 cm, 74.37 kg
89, Female, Arunachal Pradesh, 6868263522, 176.02 cm, 64.74 kg
85, Male, Rajasthan, 8227268148, 153.46 cm, 73.38 kg
53, Female, Jharkhand, 6411453641, 159.66 cm, 66.99 kg
73, Male, Telangana, 6572517144, 153.68 cm, 69.96 kg
71, Female, Goa, 7656867645, 159.33 cm, 68.91 kg
14, Male, Bihar, 9616318113, 155.03 cm, 70.1 kg
92, Female, Gujarat, 7263852683, 139.78 cm, 67.3 kg
10, Female, Uttar Pradesh, 8783276532, 143.6 cm, 71.21 kg
21, Male, Manipur, 8662348266, 161.39 cm, 77.16 kg
69, Female, Rajasthan, 9343635362, 152.93 cm, 62.64 kg
70, Female, Meghalaya, 9575377564, 155.81 cm, 66.11 kg
4, Male, Manipur, 6511228274, 162.6 cm, 56.69 kg
67, Female, Punjab, 7454623357, 146.58 cm, 71.84 kg
71, Female, Goa, 8683875545, 155.81 cm, 69.58 kg
83, Male, Mizoram, 9351712866, 145.67 cm, 69.33 kg
20, Female, Assam, 6417271266, 154.65 cm, 63.07 kg
7, Female, Meghalaya, 9175258663, 153.8 cm, 62.81 kg
38, Male, Tamil Nadu, 8313313833, 177.09 cm, 69.05 kg
79, Male, Andhra Pradesh, 6445222332, 165.83 cm, 64.21 kg
52, Female, Sikkim, 7523233314, 166.13 cm, 68.79 kg
55, Female, Meghalaya, 8121577621, 176.79 cm, 67.3 kg
78, Female, Bihar, 6772815366, 148.84 cm, 63.84 kg
41, Female, Uttarakhand, 9858683678, 159.9 cm, 65.83 kg
91, Female, Odisha, 9451275818, 168.0 cm, 64.35 kg
62, Female, Assam, 9263686617, 128.72 cm, 69.8 kg
16, Male, Uttar Pradesh, 6237588855, 163.69 cm, 67.6 kg
15, Male, West Bengal, 7126773854, 160.91 cm, 78.46 kg
30, Male, Kerala, 7148318335, 160.85 cm, 67.72 kg
1, Female, Assam, 9366447238, 153.64 cm, 66.47 kg
49, Female, Uttarakhand, 8681374467, 147.83 cm, 60.38 kg
97, Male, Himachal Pradesh, 8488743771, 177.42 cm, 69.58 kg
36, Male, Andhra Pradesh, 6755338881, 162.32 cm, 63.15 kg
39, Male, Tripura, 6584775726, 155.33 cm, 71.61 kg
